"Unités - données"

Période,"janv-81","févr-81","mars-81","avr-81","mai-81","juin-81","juil-81","août-81","sept-81","oct-81","nov-81","déc-81","janv-82","févr-82","mars-82","avr-82","mai-82","juin-82","juil-82","août-82","sept-82","oct-82","nov-82","déc-82","janv-83","févr-83","mars-83","avr-83","mai-83","juin-83","juil-83","août-83","sept-83","oct-83","nov-83","déc-83","janv-84","févr-84","mars-84","avr-84","mai-84","juin-84","juil-84","août-84","sept-84","oct-84","nov-84","déc-84","janv-85","févr-85","mars-85","avr-85","mai-85","juin-85","juil-85","août-85","sept-85","oct-85","nov-85","déc-85","janv-86","févr-86","mars-86","avr-86","mai-86","juin-86","juil-86","août-86","sept-86","oct-86","nov-86","déc-86","janv-87","févr-87","mars-87","avr-87","mai-87","juin-87","juil-87","août-87","sept-87","oct-87","nov-87","déc-87","janv-88","févr-88","mars-88","avr-88","mai-88","juin-88","juil-88","août-88","sept-88","oct-88","nov-88","déc-88","janv-89","févr-89","mars-89","avr-89","mai-89","juin-89","juil-89","août-89","sept-89","oct-89","nov-89","déc-89","janv-90","févr-90","mars-90","avr-90","mai-90","juin-90","juil-90","août-90","sept-90","oct-90","nov-90","déc-90","janv-91","févr-91","mars-91","avr-91","mai-91","juin-91","juil-91","août-91","sept-91","oct-91","nov-91","déc-91","janv-92","févr-92","mars-92","avr-92","mai-92","juin-92","juil-92","août-92","sept-92","oct-92","nov-92","déc-92","janv-93","févr-93","mars-93","avr-93","mai-93","juin-93","juil-93","août-93","sept-93","oct-93","nov-93","déc-93","janv-94","févr-94","mars-94","avr-94","mai-94","juin-94","juil-94","août-94","sept-94","oct-94","nov-94","déc-94","janv-95","févr-95","mars-95","avr-95","mai-95","juin-95","juil-95","août-95","sept-95","oct-95","nov-95","déc-95","janv-96","févr-96","mars-96","avr-96","mai-96","juin-96","juil-96","août-96","sept-96","oct-96","nov-96","déc-96","janv-97","févr-97","mars-97","avr-97","mai-97","juin-97","juil-97","août-97","sept-97","oct-97","nov-97","déc-97","janv-98","févr-98","mars-98","avr-98","mai-98","juin-98","juil-98","août-98","sept-98","oct-98","nov-98","déc-98","janv-99","févr-99","mars-99","avr-99","mai-99","juin-99","juil-99","août-99","sept-99","oct-99","nov-99","déc-99","janv-00","févr-00","mars-00","avr-00","mai-00","juin-00","juil-00","août-00","sept-00","oct-00","nov-00","déc-00","janv-01","févr-01","mars-01","avr-01","mai-01","juin-01","juil-01","août-01","sept-01","oct-01","nov-01","déc-01","janv-02","févr-02","mars-02","avr-02","mai-02","juin-02","juil-02","août-02","sept-02","oct-02","nov-02","déc-02","janv-03","févr-03","mars-03","avr-03","mai-03","juin-03","juil-03","août-03","sept-03","oct-03","nov-03","déc-03","janv-04","févr-04","mars-04","avr-04","mai-04","juin-04","juil-04","août-04","sept-04","oct-04","nov-04","déc-04","janv-05","févr-05","mars-05","avr-05","mai-05","juin-05","juil-05","août-05","sept-05","oct-05","nov-05","déc-05","janv-06","févr-06","mars-06","avr-06","mai-06","juin-06","juil-06","août-06","sept-06","oct-06","nov-06","déc-06","janv-07","févr-07","mars-07","avr-07","mai-07","juin-07","juil-07","août-07","sept-07","oct-07","nov-07","déc-07","janv-08","févr-08","mars-08","avr-08","mai-08","juin-08","juil-08","août-08","sept-08","oct-08","nov-08","déc-08","janv-09","févr-09","mars-09","avr-09","mai-09","juin-09","juil-09","août-09","sept-09","oct-09","nov-09","déc-09","janv-10","févr-10","mars-10","avr-10","mai-10","juin-10","Juil-10","août-10","sept-10","oct-10","nov-10","déc-10","janv-11","févr-11","mars-11","avr-11","mai-11","juin-11","Juil-11","août-11","sept-11","oct-11","nov-11","déc-11","janv-12","févr-12","mars-12","avr-12","mai-12","juin-12","Juil-12","août-12","sept-12","oct-12","nov-12","déc-12","janv-13","févr-13","mars-13","avr-13","mai-13","juin-13","Juil-13","août-13","sept-13","oct-13","nov-13","déc-13","janv-14","févr-14","mars-14","avr-14","mai-14","juin-14","juil-14","août-14","sept-14","oct-14","nov-14","déc-14","janv-15","févr-15","mars-15","avr-15","mai-15","juin-15","juil-15","août-15","sept-15","oct-15","nov-15","déc-15","janv-16","févr-16","mars-16","avr-16","mai-16","juin-16","juil-16","août-16","sept-16","oct-16","nov-16","déc-16","janv-17"
"Libelle",
"Production totale brute d'électricité (en GWh)",27673.762144,25285.869784,24890.048656,21687.451704,21439.903848,20196.976312,19727.380472,17307.716664,20410.6002,23625.740224,25388.318576,28799.637848,28331.689488,25045.194608,27438.130352,23408.96064,21777.588672,20332.169856,20170.169856,17321.299408,19438.279344,22763.256544,24063.125456,28514.618,28945.20619,27125.3517,27078.168855,24365.18206,22627.93882,20992.82433,20857.677555,18851.119815,21693.147,24770.422595,27434.16522,31702.33286,32957.784425,31693.504576,31456.988703,26228.034366,25704.60532,23307.055942,22828.632624,20185.218277,23645.606037,26639.454931,27677.903789,31398.58647,37587.088708,30320.470402,32349.549983,27250.739011,25574.87247,23105.262701,24572.819554,21619.218571,25045.642499,28613.579777,33147.271029,34296.334316,36916.161406,35379.238338,33543.763514,32520.21938,26265.02338,25296.992988,25471.472098,22418.295924,26502.220378,29593.365888,31997.739454,36320.793276,41302.481758,34680.672806,36168.498112,29912.865056,28729.500352,27664.691032,26904.129528,23426.294528,27064.084698,30718.92611,34022.034598,37273.264062,36519.467328,35647.872736,36532.870944,31073.17104,29268.652848,28952.36128,28708.415712,26913.565984,30095.377296,32279.436544,36211.709136,39425.567088,41260.745752,35862.72858,36085.074118,35252.469278,30914.599202,31131.449604,30426.523828,27310.284542,29654.596462,33118.943226,36719.819078,38402.43826,40288.29055,33432.202068,35085.39104,35592.00694,31172.968276,30873.476964,31422.037652,29608.33754,32229.717222,35680.03783,39213.652586,44764.91833,45486.525544,43281.631596,38543.484334,36357.306142,35526.813354,32417.898036,33179.328614,30829.593928,33219.478514,38362.733078,41857.107696,45875.89452,47757.6128,42063.060712,41400.49204,38422.410096,34382.891182,32791.725888,34178.958796,31938.055498,34259.662726,40430.251718,40419.17053,44791.19815,45404.485169,42741.927663,43264.209527,38238.390716,35139.155291,33831.488853,34896.747531,32500.981321,35586.160985,39220.448443,44240.835697,46473.463246,46998.819795,42135.250279,41243.183713,40382.157384,35585.845174,34762.730524,36449.640417,33990.237152,36325.856735,39967.761932,41177.304603,46756.901236,50537.72827,41249.63171,46393.29591,40141.95235,38124.35867,36830.76025,37612.17195,35805.73618,37100.64404,39117.41826,43821.86465,46235.35773,49934.094698,47985.783736,46669.230999,41422.020127,39416.97299,36781.75778,38335.536884,35344.634049,37947.75131,42764.912505,45575.035302,50144.412095,51914.824113,43309.919936,42178.08066,41751.389605,38647.073722,37238.594128,38490.67109,36238.433994,37673.358508,43116.012644,44538.156859,48495.955476,50949.924708,45186.64333,46978.41043,43478.560768,39534.900938,38092.651228,37705.680206,32223.88454,36261.5425,42907.458902,46772.567596,49927.269854,49629.8778,46535.5484,46571.7036,43354.9366,38953.718,38246.4492,40125.4698,37335.6944,39555.78,43910.0848,47663.2176,51625.9364,52435.1982,47981.563,48949.5918,44787.1884,41703.14,39869.4638,40597.7788,38907.2188,40203.7306,44825.4912,49353.2188,50900.5628,53701.6132,46279.3818,48410.1484,45022.7438,42180.735,39990.9456,41878.3864,39442.744,41793.284,45942.563,51090.2206,53801.1646,55359.2912,47465.3744,49709.93,46145.2652,44594.306,41679.9936,42382.1748,38873.496,41647.8096,46508.5056,50386.6184,54555.8776,57838.5116,52330.95,49956.2728,45263.318,42462.292,40726.7556,42004.506,38741.2544,40117.6788,46639.8216,50750.166,55510.108,57706.0712,50848.2276,52132.8256,45591.5572,43521.8688,41611.4656,41898.4264,39533.1024,42164.2212,47551.4384,52247.028,57812.6896,57106.9612,51869.3472,52166.738,45647.1604,44527.3152,43026.006,42092.4016,41236.024,42763.3016,45754.544,51757.0924,57390.1576,58702.7741124,50508.3840172,52687.58278,47180.0482264,44566.8700732,42292.4058428,42422.4942464,40960.8429912,43190.4640048,46153.6917852,50698.11130688,55633.6941084,56033.2212825044,50448.4843822628,52994.1926583144,42961.7464338268,43276.071805614,42918.596394088,43136.6057039596,42258.6649949072,42699.1208558332,47477.4951218848,49911.280326816,56148.3235898064,57526.4172067012,52580.0716578784,52748.0844327512,47846.4792920304,43592.4917529536,42172.8044543164,43017.9146372291,40665.545322142,41740.03523112,44706.8143070056,50557.8179711036,57667.6998570484,60723.1666673856,52679.9133335096,51819.2154102324,42557.46535296,41459.4707616752,37886.7840032704,38843.8098956832,37070.4860585164,37885.757674472,41453.1705179868,45678.4998920452,54551.5239811052,59175.7406764736,52495.7299649624,53422.551314102,43394.5101984584,41402.4573697716,41860.095208314,42887.36264749,41242.342742418,40879.1968613724,43781.94135684,51701.5190594084,61461.0797946156,60774.7524754348,52596.3759903746,53049.4867131319,42808.5864791591,42962.4571052323,42132.3974924734,42730.9455882087,40234.46112028,40622.5364364238,44110.1478998409,48495.7401010681,56141.8376815271,59655.080699356,56793.5693732668,50873.101511076,45992.4804164476,42093.5158633668,39119.3578027584,39579.243615928,38024.787696812,39686.1887584736,44652.1516719756,51338.5263592248,56866.680000112,60165.7516476264,54400.9609537088,54125.568388622,45751.4640200396,44935.8030623108,40850.8888473652,42495.982847406,39999.4805955164,40181.8456970072,43339.0682292424,50648.9635501848,55870.1105168868,58289.8030798736,51464.8053895092,50363.3342331252,42340.0262797092,42805.70741184,40891.0602967972,44432.4347959168,40981.6721205464,40634.1644057424,42871.9312807172,49204.1227005772,56950.6482735372,60609.3677649396,54152.310483914,52763.1141851672,42993.731651358,42126.255880668,41361.3227005714,43298.6880467105,40546.4839186281,40513.1715090521,46111.122309414,49546.2874840916,54025.1326064812,58318.4809563481,54003.2633201589,54197.108167489,44670.7387073115,42141.1828897986,41550.700891542,39931.5691850955,37477.2082382004,37991.210687682,41415.4448843401,47539.3930499142,53484.4885696255,59597.0500801895
"Production totale nette d'électricité (en GWh)",26411,24108,23808,20787,20543,19380,18918,16562,19482,22600,24202,27507,27113,23935,26185,22341,20810,19476,19290,16583,18552,21774,23005,27275,27692,25952,25900,23337,21763,20183,20026,18047,20744,23633,26154,30234,31482,30320,30022,25089,24624,22410,21883,19304,22610,25516,26474,30024,35902,29003,30950,26135,24573,22221,23559,20707,23920,27291,31615,32684,35223,33758,32034,31135,25277,24306,24396,21447,25297,28227,30527,34663,39350,33041,34503,28603,27475,26464,25761,22395,25815,29349,32452,35536,34790,34016,34828,29694,28007,27660,27409,25624,28615,30719,34441,37515,39286,34141,34451,33702,29612,29734,29059,26065,28252,31528,34995,36567,38337,31901,33515,33952,29810,29532,30032,28250,30714,34015,37457,42731,43406,41263,36813,34704,33898,30996,31688,29408,31655,36610,39938,43729,45493,40073,39458,36686,32871,31438,32719,30494,32692,38628,38715,42880,43329,40756,41255,36516,33634,32413,33401,31053,34003,37565,42250,44408,44906,40232,39410,38611,34058,33249,34809,32423,34685,38161,39345,44587,48322,39491,44406,38400,36525,35271,35983,34205,35454,37353,41808,44153,47754,45872,44594,39578,37734,35211,36664,33794,36248,40837,43562,47991,49585,41362,40276,39839,36942,35607,36826,34625,35964,41123,42489,46305,48660,43119,44816,41528,37805,36428,35981,30742,34602,40996,44663,47615,47461,44550,44471,41450,37242,36525,38257,35631,37723,41988,45654,49354,50126,45880,46864,42798,39848,38053,38745,37095,38405,42831,47282,48745,51508,44379,46360,43165,40372,38240,40024,37628,39947,43988,48889,51500,52741,45240,47438,44019,42615,39851,40465,37037,39823,44521,48150,52298,55483,50202,47799,43298,40650,38859,40115,36850,38300,44609,48560,53193,55232,48693,49810,43572,41526,39680,39938,37660,40257,45537,50038,55354,54674,49635,49795,43604,42507,41065,40033,39259,40795,43627,49440,54892,56145.251,48302.953,50347.45,45173.986,42622.893,40362.197,40392.536,38982.338,41224.452,44102.773,48436.3312,53233.541,53618.213831,48328.115747,50707.552606,40962.151357,41311.791985,41027.33662,41164.691529,40285.884428,40714.9214301,45369.820152,47551.36184,53712.141436,55059.358363,50326.858216,50441.394738,45817.314196,41689.168464,40242.499461,41010.168116,38716.291705,39848.6638,42686.081694,48354.127589,55179.263391,58182.784144,50507.224154,49547.601551,40662.2704,39577.081748,36161.089296,37017.494168,35276.394961,36009.65278,39462.609757,43592.174923,52193.928073,56526.533264,50301.188626,51124.234605,41507.696166,39703.162159,40063.046235,40945.521975,39330.987695,39015.383901,41768.5691,49431.352291,58889.114969,58290.1579233796,50410.2190875958,50779.4281068551,40865.48173745,40948.6442236867,40245.5937638538,40809.9879081263,38348.645407962,38790.0324487842,42140.9192731489,46277.7042355425,53726.2999371691,57249.402672,54393.927771,48672.58875,44071.633039,40296.534048,37400.15215,37783.753254,36150.46501,37836.853532,42640.487237,49088.146797,54561.153641,57742.76699,52235.653356,51896.325754,43882.616103,43133.434535,39123.025051,40600.330904,38223.204596,38406.430542,41430.127792,48520.967041,53598.851717,55988.114302,49473.174361,48328.398766,40585.043138,41591.548428,39106.767392,42491.189311,39145.637152,38895.987855,40992.952308,47102.514753,54659.311136,58238.448741,52046.07073933,50666.776137,41184.723743,40319.274107,39622.91549408,41408.95027656,38667.92338897,38738.30238642,44132.057569,47411.126698,51740.20592,55984.8320166795,51932.7948479014,52080.8332290575,42928.5772407265,40363.7440936455,39821.981618338,38208.2684713355,35747.7247398642,36214.9835489934,39512.8113681191,45475.3789398992,51210.9569077863,57153.7788583704
"Production brute d'électricité primaire (en GWh)",15710.602144,13892.989784,15685.008656,15225.691704,15613.083848,15173.636312,14905.440472,12485.776664,13077.5202,14669.800224,14439.578576,18031.097848,19045.029488,16299.134608,16731.070352,15236.36064,14527.188672,13873.589856,13669.189856,11912.119408,11526.439344,12879.816544,14526.305456,20618.678,20713.24619,17689.2317,17884.788855,17094.64206,17698.93882,16555.66433,17409.497555,16465.059815,17115.007,17359.962595,17848.58522,22041.49286,24024.104425,24014.864576,22852.968703,20738.294366,20399.30532,20500.175942,18828.192624,16931.018277,19143.786037,22177.914931,23128.383789,26760.02647,28237.888708,24993.970402,26963.689983,24332.559011,23250.29247,20788.102701,21831.659554,19739.838571,20889.382499,23334.779777,26180.951029,27757.194316,30860.381406,28138.378338,28986.823514,28221.91938,24892.32338,24081.172988,24178.272098,20776.355924,22550.540378,26075.225888,28243.219454,32372.293276,33745.741758,30424.772806,32283.598112,27416.565056,26776.980352,26188.111032,25174.209528,21234.214528,24661.064698,27107.50611,30398.954598,33062.944062,33243.007328,32493.312736,33503.390944,28929.85104,27130.632848,27312.54128,27221.235712,25382.925984,27816.377296,29302.956544,28952.829136,33043.307088,34228.705752,30095.26858,33000.474118,32548.409278,29246.159202,29135.469604,28113.603828,25014.324542,25500.456462,27364.203226,29143.999078,31347.07826,31945.03055,28187.322068,31375.39104,31215.26694,29369.908276,29601.476964,29874.437652,28044.83754,29987.817222,31656.27783,33093.212586,37221.95833,39835.665544,35478.971596,34420.084334,30771.106142,30179.113354,29342.838036,28963.708614,28082.073928,29026.118514,33662.693078,35680.487696,38197.25452,38608.7528,34440.600712,35622.43204,33800.810096,31547.391182,30662.185888,31611.638796,29470.375498,30646.122726,35830.911718,37761.75053,41794.57815,40955.665169,37225.687663,38624.589527,35522.670716,33238.575291,32299.788853,33422.287531,30888.721321,33913.480985,36969.008443,40030.515697,43556.343246,43192.359795,38013.970279,38018.663713,36631.877384,32874.365174,32372.430524,33899.280417,32475.497152,34475.096735,37300.801932,38976.744603,43355.361236,46618.90827,39202.77171,42853.95591,37268.29235,35843.23867,33995.26025,34461.85195,33493.87618,33261.32404,35851.55826,39041.26465,42068.49773,45811.754698,42478.023736,41936.330999,38203.860127,36827.39299,33794.67778,35489.436884,34173.334049,34981.87131,38622.432505,40988.415302,44832.752095,44865.824113,38811.279936,39744.32066,39448.009605,37088.873722,35189.614128,36890.07109,34557.273994,35031.838508,38877.072644,39968.496859,43071.935476,45817.404708,40500.38333,41308.47043,37818.160768,36343.240938,34960.351228,33629.980206,29183.80454,32945.8625,39345.858902,40730.567596,41615.809854,43319.6978,39966.7284,41492.1836,40137.8366,36870.818,35783.0092,37375.8298,35268.6944,36321.72,40087.7248,41287.3176,43976.9764,43859.7982,41016.303,43747.1118,40143.3284,40000.78,37377.4038,37883.1188,36689.6988,37254.8106,40734.9512,43744.7588,45190.3428,48616.7932,41572.9818,43983.5884,41825.7838,39340.995,37426.8056,39514.5864,37523.084,39434.784,42685.183,43774.1006,45454.7246,46673.6512,40458.7744,43302.23,42036.7052,41703.686,39222.9136,39741.7148,36981.396,38483.7096,42403.1256,44747.4184,48411.0576,50344.3116,45267.11,43854.9128,41043.458,39775.192,37987.7156,38778.926,35421.3344,36483.9988,41945.0816,43958.746,49191.448,50727.0312,44135.2476,44413.9056,41030.3772,40200.8888,38280.9456,39045.9664,36493.0224,38777.5212,43725.8984,45554.188,50390.5696,49491.9212,43503.8272,43679.318,41058.4204,41352.6152,39579.946,38150.2616,38698.384,39057.5416,41399.004,44242.7524,48447.9976,49165.9541124,41564.1040172,43996.64278,44983.7282264,42774.4100732,39862.8858428,39255.2142464,38734.8429912,40112.2240048,42841.1917852,43599.29130688,47880.8541084,48701.2012825044,43855.2843822628,45825.4126583144,39080.0264338268,40072.751805614,40107.476394088,40102.8857039596,39783.5649949072,39343.1608558332,42932.2151218848,41456.720326816,47140.4435898064,49612.4572067012,45636.0116578784,45394.8644327512,43560.8992920304,41291.2317529536,38934.5044543164,40054.1546372291,38541.305322142,38213.41523112,39934.6943070056,43633.8979711036,49592.6198570484,51853.0866673856,45020.3533335096,44782.9354102324,39719.84535296,39302.3707616752,35488.0040032704,36008.3098956832,34065.3860585164,33825.957674472,36306.8705179868,38165.2198920452,45918.8839811052,49367.5606764736,44859.4899649624,45198.011314102,39424.8101984584,38102.6773697716,39097.735208314,39411.62264749,39202.902742418,37437.3768613724,38639.88135684,43692.1590594084,51842.6397946156,53151.2324754348,45096.8759903746,45197.0067131319,39522.5864791591,39243.9771052323,39741.0374924734,40557.9455882087,37921.54112028,37373.6364364238,38959.6078998409,40387.8001010681,49564.5376815271,53230.268059356,46953.2215532668,44582.825131076,42031.7257564476,39832.7510433668,36413.1131427584,36767.949775928,34913.672856812,36685.1750584736,40637.7578319756,45202.2647992248,50578.005280112,52609.0667676264,46878.4716737088,46610.356008622,42151.0478800396,42932.0055623108,39187.1912873652,40201.004407406,37262.1620355164,36717.7434370072,39391.7798092424,44546.8265701848,50086.5713768868,53985.7207798736,47810.0388095092,46282.9935531252,40224.9785997092,41070.08779184,39326.1250567972,43001.8015559168,39609.4353405464,38541.1838057424,39888.0758007172,44607.3203405772,51426.0925735372,54374.2156249396,47708.887423914,47587.6270851672,40678.095931358,40802.492900668,40056.8114405714,41301.4996467105,39072.9651986281,37904.3376690521,41764.629409414,43758.7871240916,48649.8916864812,52202.0546897224,49180.0170160487,48531.4397452187,41439.0183349834,39965.4924884247,39326.521827192,37185.9056537226,34654.4740891984,33052.1364467058,35528.3654296617,39437.1065968738,44603.2072459423,49796.5623591237
"Production nette d'électricité primaire (en GWh)",15125,13360,15124,14691,15046,14641,14369,12013,12564,14151,13873,17348,18352,15684,16084,14631,13970,13383,13157,11480,11088,12450,14008,19826,19926,17050,17227,16478,17113,15997,16773,15796,16425,16642,17111,21120,23054,23076,21905,19910,19619,19762,18109,16234,18363,21307,22182,25648,27082,23978,25869,23382,22380,20035,20973,18934,19999,22311,25043,26515,29510,26927,27735,27080,23982,23159,23176,19898,21569,24908,26985,30938,32221,29026,30838,26248,25633,25071,24129,20327,23548,25942,29034,31564,31699,31040,31970,27672,25990,26113,26006,24180,26465,27911,27593,31494,32652,28700,31541,31151,28038,27851,26877,23899,24333,26099,27848,29911,30466,26953,30015,29823,28109,28332,28572,26775,28599,30219,31683,35615,38075,33902,32923,29434,28853,28095,27711,26816,27699,32176,34111,36485,36862,32882,34007,32326,30196,29429,30297,28166,29283,34289,36208,40053,39132,35552,36878,33954,31841,30968,32010,29532,32425,35441,38278,41656,41315,36344,36368,35073,31500,30994,32403,30994,32939,35645,37269,41378,44625,37560,41067,35689,34373,32596,33011,32024,31832,34272,37298,40222,43865,40676,40129,36542,35291,32393,33979,32689,33450,36929,39235,42980,42935,37118,37980,37666,35472,33674,35316,33039,33472,37124,38178,41188,43818,38698,39467,36188,34794,33473,32136,27874,31474,37636,38963,39774,41508,38353,39679,38415,35277,34201,35663,33681,34672,38382,39639,42138,42036,39309,41956,38417,38242,35702,36184,35003,35623,38972,41991,43358,46711,39939,42184,40149,37693,35821,37794,35817,37722,40915,41987,43626,44547,38630,41393,40143,39888,37533,37974,35252,36838,40648,42830,46501,48413,43538,42043,39317,38115,36275,37072,33718,34872,40180,42153,47232,48648,42360,42528,39269,38393,36538,37247,34792,37062,41928,43724,48352,47490,41743,41788,39275,39512,37814,36314,36865,37299,39518,42351,46456,47148.251,39864.953,42148.45,43101.986,40931.893,38070.197,37404.536,36882.338,38320.452,40977.773,41739.3312,45919.541,46701.213831,42108.115747,43944.552606,37300.151357,38289.791985,38375.33662,38302.691529,37950.884428,37548.9214301,41081.820152,39575.36184,45214.141436,47593.358363,43775.858216,43504.394738,41774.314196,39518.168464,37187.499461,38214.168116,36712.291705,36521.6638,38184.081694,41822.127589,47561.263391,49814.784144,43281.224154,42909.601551,37985.2704,37542.081748,33898.089296,34342.494168,32441.394961,32179.65278,34607.609757,36504.174923,44049.928073,47273.533264,43097.188626,43365.234605,37762.696166,36590.162159,37457.046235,37666.521975,37406.987695,35768.383901,36917.5691,41875.352291,49815.114969,51098.1579233796,43335.2190875958,43371.4281068551,37765.48173745,37440.6442236867,37989.5937638538,38759.9879081263,36166.645407962,35725.0324487842,37281.9192731489,38628.7042355425,47521.2999371691,51188.258672,45110.580771,42738.36575,40335.072039,38163.737048,34847.09115,35131.589254,33215.45101,35005.708532,38853.323237,43299.220797,48628.441641,50613.81899,45138.965356,44806.502754,40485.997103,41243.059535,37553.499051,38435.256904,35640.828596,35138.409542,37706.270792,42764.234041,48142.682717,51927.659302,46025.281361,44479.020766,38589.715138,39954.171428,37630.413392,41141.535311,37851.074152,36921.477855,38177.994308,42765.908753,49447.466136,52356.229741,45967.36973933,45784.241137,39000.161743,39070.441107,38392.24449408,39524.81027656,37277.81138897,36277.13838642,40031.592569,41951.220698,46669.22392,50214.6185575985,47382.5624855333,46735.8630193685,39879.7844366434,38311.2059791417,37723.6994821589,35618.0198568328,33084.7679955227,31555.4795480725,33958.9628259696,37831.7124747666,42832.3896212927,47908.0357252895
"Production brute d'électricité nucléaire (en GWh)",9382.089744000001,8657.869384,8802.713456,8308.974904000001,8968.702648,8275.142712000001,8444.303672,7632.331064,8431.616599999999,8092.237424,9299.623776,11030.351848,11086.553088,10019.217408,10661.732352,10097.41824,9145.270272,7732.371456,8313.593856,6901.751808,7168.057344,6560.415744,8207.917056,13024.6656,13808.67819,10936.5237,11354.808855,10540.36446,9554.18082,9210.70233,10954.435155,12096.553815,12432.657,13078.522995,13431.48402,16862.05446,18072.204825,17239.883776,17863.861503,15356.375966,14184.18172,13024.614342,13064.599424,13093.009877,14608.234037,16024.547731,17731.279389,20971.12327,21954.934308,19239.488802,20719.206783,17686.153011,15869.89647,13510.971501,16025.545554,15288.315771,17198.172099,20001.958977,22151.599029,24453.733116,25748.773806,22950.840738,23746.641114,21084.49938,16031.79858,16608.648588,18698.150898,16520.226324,18677.097978,22450.833888,24157.173054,27480.376476,27456.712958,25349.611606,25943.949312,20572.741056,20158.921552,19673.317032,18203.835528,15986.945328,20035.409098,20590.68731,24521.972598,27026.002862,26411.332128,24517.625536,26090.598144,20990.61024,18779.345248,20096.15408,20486.750912,20723.861184,23480.268096,24000.005344,23353.244736,26591.281888,30608.363352,27149.18458,27906.077318,26411.240478,22476.240402,24530.062004,23595.262628,21391.957342,22613.091662,24594.276826,24832.187478,27822.91386,28765.08215,23511.046468,25812.25304,26707.04974,23831.067876,23982.656964,24765.867252,24496.37554,27013.386022,27754.48823,26573.356586,30438.87833,33656.988344,30210.441996,28440.849934,25392.224942,25293.270954,23494.203236,23745.799014,24384.789128,25693.297714,28411.374278,29947.266496,32907.46452,33686.464,30060.958312,31181.03324,28052.402896,25518.549182,22679.411888,24525.851196,24947.984698,26120.694726,29169.319718,29499.55413,33241.82295,35706.371169,32889.578463,34395.794727,30616.580316,26751.116091,25284.869253,27087.700731,26425.049721,28983.092985,29039.891643,34090.764897,36917.024046,34779.315795,31065.869079,30566.387313,28636.954584,25064.711574,25328.151324,27885.624417,27954.118752,28730.739135,30925.719132,31736.059803,37307.283636,38807.22987,31707.97451,34420.66391,30622.89875,28124.70107,26806.20785,28057.40955,28899.60498,27871.30644,31103.40226,34502.67545,36306.92933,38640.925498,35743.538936,36076.559799,33294.732527,30266.02859,27545.13258,29999.191684,29720.798849,30770.28731,34032.210905,34896.804502,36353.902095,37149.311313,32755.103136,34358.35266,34931.693205,31267.573722,29169.883728,30181.90869,29449.715994,30411.244908,34341.520644,34988.501259,36479.186676,38868.291108,35303.73413,36092.58563,31537.231168,29838.570938,28623.739628,29243.251006,25737.59494,28871.9649,33185.404902,34286.641596,36000.027054,38012.697,33607.844,34512.698,33467.133,28295.79,28591.932,31542.381,30241.116,31274.906,33702.518,34485.002,36509.514,38050.647,35336.739,37584.633,33865.436,32331.85,31047.879,32748.226,31929.394,32613.969,35072.598,36301.594,38278.688,40676.54,34858.745,35432.858,33132.305,30406.565,30052.484,32836.796,32405.402,34560.078,37496.633,38890.283,40322.869,42130,36150,37405,37407,35361,32780,34703,32132,33772,36841,38100,40895,42236,38155,37657,36189,34126,32704,34866,31720,33055,37203,39489,43603,43703,37910,37890,35611,33760,32162,34150,32164,34816,39407,41130,45527,44416,38128,38607,34996,35110,34554,33894,34921,35121,37550,40239,43992,44734,36761,37090,37675,35708,34564,34697,34502,35570,37508,39058,42306,42805,37847,38534,33434,33510,32507,33544,34381,35046,38698,37646,41878,42867,40705,39026,35994,33656,30160,33600.1876365907,33806,32871,35654,37872,43270,45056,38719,37728,32514,31555,28640,30505,29799.085,30289.63,32593.52,33075.58,39656.77,42329,38008.007,37739.497,32884.669,30804,31124.97,33421.601,34133,33281.807,33557.73,37204.21,43830.021,45832,40039.205,39458.158,34556.526,34830.697,34286.786,35232.78,33091,33085.95,34461.51,35415.62,41791.86,44768.87,40439.44,39344.1,34729.37,30631.03,28043.09,30392.7,29967.64,31764.68,34577.09,38963.11,41781.95,44317.34,38403.97,38506.35,33055.47,32753.09,30161.8,32379.82,31468.79,31284,32717.95,36336,42300,44669,38094,37515,32771,32753,32628,35178,32683,33512,34467,38072,43541.8,45734.48,39146.02,38638.84,32794.12,31981.92,32313.86,34998.82,33747.49,32228.48,36175.22,37445.14,42223.84,43507.149,39036.029,38892.187,32538.463,31019.943,30160.789,29849.625,28639.911,27937.168,30555.922,32705.546,38366.759,42322.277
