Periode,Année,Mois,Production totale brute d'electricite (en GWh),Production totale nette d'electricite (en GWh),Production brute d'electricite primaire (en GWh),Production nette d'electricite primaire (en GWh),Production brute d'electricite nucleaire (en GWh),Production nette d'electricite nucleaire (en GWh),Production brute d'electricite hydraulique (en GWh),Production nette d'electricite hydraulique (en GWh),Production brute d'electricite eolienne (en GWh),Production nette d'electricite eolienne (en GWh),Production brute d'electricite photovoltaeque (en GWh),Production nette d'electricite photovoltaeque (en GWh),Production brute d'electricite thermique (en GWh),Production nette d'electricite thermique (en GWh),electricite absorbee pour les pompages (en GWh),Total des importations physiques d'electricite (en GWh),Total des exportations physiques d'electricite (en GWh),Energie appelee reelle yc pertes (consommation calculee yc pertes) (en GWh),Livraisons en basse tension (BT : FC + Corse) (en GWh),Livraisons en moyenne tension (MT : FC + Corse) (en GWh),Livraisons en haute tension (en GWh),Energie appelee reelle yc pertes corrigee du climat (en GWh),Livraisons en basse tension corrigees du climat (en GWh),Livraisons en moyenne tension corrigees du climat (en GWh),Consommation d'electricite primaire (en GWh),Consommation d'electricite primaire corrigee du climat (en GWh),Puissance maximale appelee (en GW),Indice de rigueur climatique pour la France metropolitaine (ref.1 pour la periode 1986-2015) (sans unite)
nov.81,1981,11,25388.318576,24202.000000,14439.578576,13873.000000, 9299.623776, 8796.000000, 5139.954800, 5077.000000,    0.000000,    0.000000,    0.000000,    0.000000,10948.740000,10329.000000,   73.000000, 1131.000000, 1269.000000,23991.000000, 8444.000000, 5887.000000, 6583.000000,23616.072052, 8162.012141, 5842.146831,13662.000000,13455.392057,   41.400000,    1.076775
dec.81,1981,12,28799.637848,27507.000000,18031.097848,17348.000000,11030.351848,10433.000000, 7000.746000, 6915.000000,    0.000000,    0.000000,    0.000000,    0.000000,10768.540000,10159.000000,   88.000000, 1082.000000, 1464.000000,27037.000000,10256.000000, 6450.000000, 6694.000000,26676.446959, 9982.919876, 6411.028448,16878.000000,16675.267767,   43.300000,    1.060788
janv.82,1982,1,2.833169e+04,2.711300e+04,1.904503e+04,1.835200e+04,1.108655e+04,1.049100e+04,7.958476e+03,7.861000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.286660e+03,8.761000e+03,9.500000e+01,9.550000e+02,1.219000e+03,2.675400e+04,1.021300e+04,6.115000e+03,6.535000e+03,2.694009e+04,1.035353e+04,6.133500e+03,1.799300e+04,1.810770e+04,4.540000e+01,9.698378e-01
fevr.82,1982,2,2.504519e+04,2.393500e+04,1.629913e+04,1.568400e+04,1.001922e+04,9.481000e+03,6.279917e+03,6.203000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.746060e+03,8.251000e+03,6.600000e+01,7.450000e+02,1.088000e+03,2.352600e+04,8.585000e+03,5.998000e+03,5.914000e+03,2.377293e+04,8.771642e+03,6.026496e+03,1.527500e+04,1.542820e+04,4.250000e+01,9.527159e-01
X1982.03.01,1982,3,27438.130352,26185.000000,16731.070352,16084.000000,10661.732352,10089.000000, 6069.338000, 5995.000000,    0.000000,    0.000000,    0.000000,    0.000000,10707.060000,10101.000000,   39.000000,  757.000000, 1624.000000,25279.000000, 9073.000000, 6559.000000, 6791.000000,24466.446142, 8456.765646, 6454.482142,15178.000000,14678.839609,   41.000000,    1.161931
avr.82,1982,4,23408.960640,22341.000000,15236.360640,14631.000000,10097.418240, 9555.000000, 5138.942400, 5076.000000,    0.000000,    0.000000,    0.000000,    0.000000, 8172.600000, 7710.000000,   50.000000,  538.000000, 1203.000000,21626.000000, 6682.000000, 5782.000000, 6577.000000,20867.688397, 6128.166630, 5668.164303,13916.000000,13352.843509,   40.000000,    1.200833
X1982.05.01,1982,5,21777.588672,20810.000000,14527.188672,13970.000000, 9145.270272, 8654.000000, 5381.918400, 5316.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7250.400000, 6840.000000,  116.000000,  444.000000, 1266.000000,19872.000000, 5822.000000, 5017.000000, 6553.000000,19095.324097, 5258.863359, 4900.388889,13032.000000,12411.756901,   36.400000,    1.237963
X1982.06.01,1982,6,20332.170,19476.000,13873.590,13383.000, 7732.371, 7317.000, 6141.218, 6066.000,    0.000,    0.000,    0.000,    0.000, 6458.580, 6093.000,  155.000,  679.000,  997.000,19003.000, 4744.000, 5571.000, 6460.000,19003.000, 4744.000, 5571.000,12910.000,12910.000,   33.100,    1.000
juil.82,1982,7,20170.170,19290.000,13669.190,13157.000, 8313.594, 7867.000, 5355.596, 5290.000,    0.000,    0.000,    0.000,    0.000, 6500.980, 6133.000,  104.000,  562.000, 1121.000,18627.000, 4835.000, 5252.000, 6114.000,18627.000, 4835.000, 5252.000,12494.000,12494.000,   32.700,    1.000
aoet.82,1982,8,17321.299,16583.000,11912.119,11480.000, 6901.752, 6531.000, 5010.368, 4949.000,    0.000,    0.000,    0.000,    0.000, 5409.180, 5103.000,   83.000,  717.000, 1038.000,16179.000, 4650.000, 4107.000, 5353.000,16179.000, 4650.000, 4107.000,11076.000,11076.000,   31.200,    1.000
