Periode,Année,Mois,Production totale brute d'electricite (en GWh),Production totale nette d'electricite (en GWh),Production brute d'electricite primaire (en GWh),Production nette d'electricite primaire (en GWh),Production brute d'electricite nucleaire (en GWh),Production nette d'electricite nucleaire (en GWh),Production brute d'electricite hydraulique (en GWh),Production nette d'electricite hydraulique (en GWh),Production brute d'electricite eolienne (en GWh),Production nette d'electricite eolienne (en GWh),Production brute d'electricite photovoltaeque (en GWh),Production nette d'electricite photovoltaeque (en GWh),Production brute d'electricite thermique (en GWh),Production nette d'electricite thermique (en GWh),electricite absorbee pour les pompages (en GWh),Total des importations physiques d'electricite (en GWh),Total des exportations physiques d'electricite (en GWh),Energie appelee reelle yc pertes (consommation calculee yc pertes) (en GWh),Livraisons en basse tension (BT : FC + Corse) (en GWh),Livraisons en moyenne tension (MT : FC + Corse) (en GWh),Livraisons en haute tension (en GWh),Energie appelee reelle yc pertes corrigee du climat (en GWh),Livraisons en basse tension corrigees du climat (en GWh),Livraisons en moyenne tension corrigees du climat (en GWh),Consommation d'electricite primaire (en GWh),Consommation d'electricite primaire corrigee du climat (en GWh),Puissance maximale appelee (en GW),Indice de rigueur climatique pour la France metropolitaine (ref.1 pour la periode 1986-2015) (sans unite)
nov.85,1985,11,33147.271029,31615.000000,26180.951029,25043.000000,22151.599029,21063.000000, 4029.352000, 3980.000000,    0.000000,    0.000000,    0.000000,    0.000000, 6966.320000, 6572.000000,  244.000000,  661.000000, 2639.000000,29393.000000,13462.000000, 5844.000000, 6440.000000,26652.421460,11299.823972, 5605.640693,22821.000000,20787.957266,   53.600000,    1.425213
dec.85,1985,12,3.429633e+04,3.268400e+04,2.775719e+04,2.651500e+04,2.445373e+04,2.325200e+04,3.303461e+03,3.263000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.539140e+03,6.169000e+03,3.000000e+02,6.230000e+02,3.090000e+03,2.991700e+04,1.452300e+04,5.438000e+03,6.662000e+03,3.029397e+04,1.483308e+04,5.463380e+03,2.374800e+04,2.400448e+04,5.150000e+01,9.535453e-01
janv.86,1986,1,36916.161406,35223.000000,30860.381406,29510.000000,25748.773806,24461.000000, 5111.607600, 5049.000000,    0.000000,    0.000000,    0.000000,    0.000000, 6055.780000, 5713.000000,  252.000000,  878.000000, 3365.000000,32484.000000,15860.000000, 6169.000000, 6805.000000,32301.360339,15710.867774, 6156.014507,26771.000000,26636.152918,   51.400000,    1.021094
fevr.86,1986,2,35379.23834,33758.00000,28138.37834,26927.00000,22950.84074,21803.00000, 5187.53760, 5124.00000,    0.00000,    0.00000,    0.00000,    0.00000, 7240.86000, 6831.00000,  140.00000,  931.00000, 2313.00000,32236.00000,16714.00000, 6006.00000, 6111.00000,28474.92121,13636.96718, 5719.22644,25405.00000,22676.13475,   58.00000,    1.50142
X1986.03.01,1986,3,33543.763514,32034.000000,28986.823514,27735.000000,23746.641114,22559.000000, 5240.182400, 5176.000000,    0.000000,    0.000000,    0.000000,    0.000000, 4556.940000, 4299.000000,  298.000000,  784.000000, 2770.000000,29750.000000,13384.000000, 5600.000000, 6997.000000,28227.143936,12174.982593, 5479.090571,25451.000000,24170.866809,   50.500000,    1.220674
avr.86,1986,4,32520.219380,31135.000000,28221.919380,27080.000000,21084.499380,20030.000000, 7137.420000, 7050.000000,    0.000000,    0.000000,    0.000000,    0.000000, 4298.300000, 4055.000000,  250.000000,  642.000000, 2978.000000,28549.000000,12841.000000, 5357.000000, 7701.000000,25433.143324,10293.611786, 5077.754285,24494.000000,21638.087191,   49.800000,    1.549939
X1986.05.01,1986,5,26265.023380,25277.000000,24892.323380,23982.000000,16031.798580,15230.000000, 8860.524800, 8752.000000,    0.000000,    0.000000,    0.000000,    0.000000, 1372.700000, 1295.000000,  314.000000,  751.000000, 2762.000000,22952.000000, 7951.000000, 4626.000000, 7511.000000,22608.747649, 7685.783133, 4590.796283,21657.000000,21265.627821,   39.600000,    1.076683
X1986.06.01,1986,6,25296.993,24306.000,24081.173,23159.000,16608.649,15778.000, 7472.524, 7381.000,    0.000,    0.000,    0.000,    0.000, 1215.820, 1147.000,  264.000,  533.000, 2225.000,22350.000, 7573.000, 4708.000, 7414.000,22350.000, 7573.000, 4708.000,21203.000,21203.000,   39.000,    1.000
juil.86,1986,7,25471.472,24396.000,24178.272,23176.000,18698.151,17763.000, 5480.121, 5413.000,    0.000,    0.000,    0.000,    0.000, 1293.200, 1220.000,  264.000,  649.000, 2288.000,22493.000, 7265.000, 4789.000, 7669.000,22493.000, 7265.000, 4789.000,21273.000,21273.000,   37.600,    1.000
aoet.86,1986,8,22418.30,21447.00,20776.36,19898.00,16520.23,15694.00, 4256.13, 4204.00,    0.00,    0.00,    0.00,    0.00, 1641.94, 1549.00,  301.00,  505.00, 1801.00,19850.00, 6612.00, 4058.00, 6899.00,19850.00, 6612.00, 4058.00,18301.00,18301.00,   35.30,    1.00
sept.86,1986,9,26502.220,25297.000,22550.540,21569.000,18677.098,17743.000, 3873.442, 3826.000,    0.000,    0.000,    0.000,    0.000, 3951.680, 3728.000,  238.000,  389.000, 2369.000,23079.000, 8186.000, 4708.000, 7557.000,23079.000, 8186.000, 4708.000,19351.000,19351.000,   40.300,    1.000
oct.86,1986,10,2.959337e+04,2.822700e+04,2.607523e+04,2.490800e+04,2.245083e+04,2.132800e+04,3.624392e+03,3.580000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.518140e+03,3.319000e+03,2.770000e+02,5.090000e+02,3.197000e+03,2.526200e+04,9.140000e+03,5.528000e+03,7.588000e+03,2.612795e+04,9.816888e+03,5.614021e+03,2.194300e+04,2.278074e+04,4.420000e+01,8.467748e-01
nov.86,1986,11,3.199774e+04,3.052700e+04,2.824322e+04,2.698500e+04,2.415717e+04,2.294900e+04,4.086046e+03,4.036000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.754520e+03,3.542000e+03,2.570000e+02,6.320000e+02,3.498000e+03,2.740400e+04,1.200100e+04,4.942000e+03,6.764000e+03,2.762177e+04,1.217376e+04,4.957634e+03,2.386200e+04,2.404398e+04,4.790000e+01,9.684648e-01
dec.86,1986,12,3.632079e+04,3.466300e+04,3.237229e+04,3.093800e+04,2.748038e+04,2.610600e+04,4.891917e+03,4.832000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.948500e+03,3.725000e+03,3.030000e+02,7.040000e+02,3.801000e+03,3.126300e+04,1.553000e+04,5.682000e+03,6.688000e+03,3.142475e+04,1.566357e+04,5.692788e+03,2.753800e+04,2.766381e+04,5.000000e+01,9.810505e-01
janv.87,1987,1,41302.481758,39350.000000,33745.741758,32221.000000,27456.712958,26009.000000, 6289.028800, 6212.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7556.740000, 7129.000000,  239.000000,  960.000000, 2955.000000,37116.000000,20023.000000, 5566.000000, 6913.000000,33227.013203,16750.166917, 5433.297765,29987.000000,26840.377865,   62.300000,    1.488478
fevr.87,1987,2,34680.672806,33041.000000,30424.772806,29026.000000,25349.611606,24013.000000, 5075.161200, 5013.000000,    0.000000,    0.000000,    0.000000,    0.000000, 4255.900000, 4015.000000,  106.000000,  767.000000, 3168.000000,30534.000000,15357.000000, 5279.000000, 6546.000000,29888.731738,14806.967796, 5254.601016,26519.000000,25940.827981,   54.900000,    1.092867
X1987.03.01,1987,3,36168.498112,34503.000000,32283.598112,30838.000000,25943.949312,24576.000000, 6339.648800, 6262.000000,    0.000000,    0.000000,    0.000000,    0.000000, 3884.900000, 3665.000000,  138.000000,  759.000000, 3293.000000,31831.000000,15197.000000, 5636.000000, 7574.000000,29596.685901,13301.653994, 5537.372816,28166.000000,25947.640253,   51.500000,    1.356224
avr.87,1987,4,2.991287e+04,2.860300e+04,2.741657e+04,2.624800e+04,2.057274e+04,1.948800e+04,6.843824e+03,6.760000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.496300e+03,2.355000e+03,2.220000e+02,6.320000e+02,3.454000e+03,2.555900e+04,1.015600e+04,5.269000e+03,7.565000e+03,2.635351e+04,1.082938e+04,5.310274e+03,2.320400e+04,2.410325e+04,4.770000e+01,8.445485e-01
X1987.05.01,1987,5,28729.500352,27475.000000,26776.980352,25633.000000,20158.921552,19096.000000, 6618.058800, 6537.000000,    0.000000,    0.000000,    0.000000,    0.000000, 1952.520000, 1842.000000,  319.000000,  652.000000, 3525.000000,24283.000000, 9406.000000, 4756.000000, 7569.000000,21289.115315, 6930.073553, 4552.681375,22441.000000,18479.637448,   44.400000,    1.893182
X1987.06.01,1987,6,27664.691,26464.000,26188.111,25071.000,19673.317,18636.000, 6514.794, 6435.000,    0.000,    0.000,    0.000,    0.000, 1476.580, 1393.000,  351.000,  481.000, 3553.000,23041.000, 8027.000, 5178.000, 7526.000,23041.000, 8027.000, 5178.000,21648.000,21648.000,   40.700,    1.000
juil.87,1987,7,26904.130,25761.000,25174.210,24129.000,18203.836,17244.000, 6970.374, 6885.000,    0.000,    0.000,    0.000,    0.000, 1729.920, 1632.000,  358.000,  761.000, 3270.000,22894.000, 7802.000, 5098.000, 7671.000,22894.000, 7802.000, 5098.000,21262.000,21262.000,   38.800,    1.000
aoet.87,1987,8,23426.295,22395.000,21234.215,20327.000,15986.945,15144.000, 5247.269, 5183.000,    0.000,    0.000,    0.000,    0.000, 2192.080, 2068.000,  148.000,  680.000, 2370.000,20557.000, 7554.000, 4043.000, 6873.000,20557.000, 7554.000, 4043.000,18489.000,18489.000,   36.700,    1.000
sept.87,1987,9,27064.085,25815.000,24661.065,23548.000,20035.409,18979.000, 4625.656, 4569.000,    0.000,    0.000,    0.000,    0.000, 2403.020, 2267.000,  224.000,  806.000, 2931.000,23466.000, 7895.000, 5549.000, 7676.000,23466.000, 7895.000, 5549.000,21199.000,21199.000,   41.600,    1.000
oct.87,1987,10,30718.926110,29349.000000,27107.506110,25942.000000,20590.687310,19505.000000, 6516.818800, 6437.000000,    0.000000,    0.000000,    0.000000,    0.000000, 3611.420000, 3407.000000,  224.000000,  697.000000, 3144.000000,26678.000000,10025.000000, 5740.000000, 7992.000000,26673.061619,10020.896150, 5739.706178,23271.000000,23265.283311,   44.900000,    1.001024
nov.87,1987,11,34022.034598,32452.000000,30398.954598,29034.000000,24521.972598,23229.000000, 5876.982000, 5805.000000,    0.000000,    0.000000,    0.000000,    0.000000, 3623.080000, 3418.000000,  213.000000,  813.000000, 3408.000000,29644.000000,13258.000000, 5561.000000, 7317.000000,29019.432380,12735.704154, 5532.638063,26226.000000,25596.174949,   53.000000,    1.102526
dec.87,1987,12,37273.264062,35536.000000,33062.944062,31564.000000,27026.002862,25601.000000, 6036.941200, 5963.000000,    0.000000,    0.000000,    0.000000,    0.000000, 4210.320000, 3972.000000,  125.000000,  844.000000, 3471.000000,32784.000000,16343.000000, 5992.000000, 6895.000000,32700.376893,16271.721398, 5988.720786,28812.000000,28736.471586,   55.500000,    1.010951
janv.88,1988,1,3.651947e+04,3.479000e+04,3.324301e+04,3.169900e+04,2.641133e+04,2.495100e+04,6.831675e+03,6.748000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.276460e+03,3.091000e+03,1.020000e+02,6.930000e+02,3.627000e+03,3.175400e+04,1.548600e+04,5.481000e+03,6.864000e+03,3.346502e+04,1.692669e+04,5.539941e+03,2.866300e+04,3.020554e+04,5.150000e+01,7.872156e-01
fevr.88,1988,2,35647.872736,34016.000000,32493.312736,31040.000000,24517.625536,23162.000000, 7975.687200, 7878.000000,    0.000000,    0.000000,    0.000000,    0.000000, 3154.560000, 2976.000000,  233.000000,  625.000000, 3377.000000,31031.000000,15252.000000, 5761.000000, 6686.000000,30888.370714,15130.464357, 5755.221389,28055.000000,27920.437245,   54.100000,    1.020081
X1988.03.01,1988,3,36532.870944,34828.000000,33503.390944,31970.000000,26090.598144,24648.000000, 7412.792800, 7322.000000,    0.000000,    0.000000,    0.000000,    0.000000, 3029.480000, 2858.000000,  110.000000,  704.000000, 3124.000000,32298.000000,14917.000000, 6244.000000, 7714.000000,31358.818561,14121.041222, 6200.313473,29440.000000,28476.907651,   54.900000,    1.140917
avr.88,1988,4,3.107317e+04,2.969400e+04,2.892985e+04,2.767200e+04,2.099061e+04,1.983000e+04,7.939241e+03,7.842000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.143320e+03,2.022000e+03,8.000000e+01,5.540000e+02,3.467000e+03,2.670100e+04,1.091800e+04,5.308000e+03,7.810000e+03,2.670718e+04,1.092325e+04,5.308319e+03,2.467900e+04,2.468612e+04,4.790000e+01,9.987989e-01
X1988.05.01,1988,5,2.926865e+04,2.800700e+04,2.713063e+04,2.599000e+04,1.877935e+04,1.774100e+04,8.351288e+03,8.249000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.138020e+03,2.017000e+03,1.910000e+02,6.610000e+02,3.811000e+03,2.466600e+04,8.741000e+03,5.431000e+03,8.003000e+03,2.502859e+04,9.044124e+03,5.453849e+03,2.264900e+04,2.311381e+04,4.190000e+01,9.162098e-01
X1988.06.01,1988,6,28952.361,27660.000,27312.541,26113.000,20096.154,18985.000, 7216.387, 7128.000,    0.000,    0.000,    0.000,    0.000, 1639.820, 1547.000,  209.000,  434.000, 3777.000,24108.000, 8073.000, 5694.000, 7981.000,24108.000, 8073.000, 5694.000,22561.000,22561.000,   41.100,    1.000
juil.88,1988,7,28708.416,27409.000,27221.236,26006.000,20486.751,19354.000, 6734.485, 6652.000,    0.000,    0.000,    0.000,    0.000, 1487.180, 1403.000,  253.000,  550.000, 3934.000,23772.000, 8180.000, 5070.000, 8087.000,23772.000, 8180.000, 5070.000,22369.000,22369.000,   40.700,    1.000
aoet.88,1988,8,26913.566,25624.000,25382.926,24180.000,20723.861,19578.000, 4659.065, 4602.000,    0.000,    0.000,    0.000,    0.000, 1530.640, 1444.000,  202.000,  581.000, 3876.000,22127.000, 8095.000, 4548.000, 7465.000,22127.000, 8095.000, 4548.000,20683.000,20683.000,   40.900,    1.000
sept.88,1988,9,30095.377,28615.000,27816.377,26465.000,23480.268,22182.000, 4336.109, 4283.000,    0.000,    0.000,    0.000,    0.000, 2279.000, 2150.000,  137.000,  530.000, 3986.000,25022.000, 9000.000, 5594.000, 8191.000,25022.000, 9000.000, 5594.000,22872.000,22872.000,   43.300,    1.000
oct.88,1988,10,3.227944e+04,3.071900e+04,2.930296e+04,2.791100e+04,2.400001e+04,2.267300e+04,5.302951e+03,5.238000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.976480e+03,2.808000e+03,1.670000e+02,7.550000e+02,3.998000e+03,2.730900e+04,1.077800e+04,5.347000e+03,8.175000e+03,2.771918e+04,1.112222e+04,5.367766e+03,2.450100e+04,2.496458e+04,4.610000e+01,9.226272e-01
nov.88,1988,11,36211.709136,34441.000000,28952.829136,27593.000000,23353.244736,22062.000000, 5599.584400, 5531.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7258.880000, 6848.000000,  296.000000,  846.000000, 3262.000000,31729.000000,14631.000000, 6159.000000, 7527.000000,30479.425752,13575.105164, 6099.694420,24881.000000,23771.602524,   56.600000,    1.194454
dec.88,1988,12,39425.56709,37515.00000,33043.30709,31494.00000,26591.28189,25121.00000, 6452.02520, 6373.00000,    0.00000,    0.00000,    0.00000,    0.00000, 6382.26000, 6021.00000,  440.00000,  783.00000, 4453.00000,33405.00000,16920.00000, 5643.00000, 6764.00000,34173.88834,17568.85262, 5669.17172,27384.00000,28004.55838,   54.30000,    0.90767
janv.89,1989,1,41260.745752,39286.000000,34228.705752,32652.000000,30608.363352,29076.000000, 3620.342400, 3576.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7032.040000, 6634.000000,  496.000000,  712.000000, 4577.000000,34925.000000,17634.000000, 6481.000000, 6735.000000,34797.449715,17526.306251, 6476.025852,28291.000000,28187.079452,   56.500000,    1.015362
fevr.89,1989,2,3.586273e+04,3.414100e+04,3.009527e+04,2.870000e+04,2.714918e+04,2.579000e+04,2.946084e+03,2.910000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.767460e+03,5.441000e+03,2.950000e+02,5.290000e+02,3.924000e+03,3.045100e+04,1.486500e+04,5.987000e+03,6.217000e+03,3.100281e+04,1.533261e+04,6.009911e+03,2.501000e+04,2.547618e+04,5.630000e+01,9.237552e-01
X1989.03.01,1989,3,3.608507e+04,3.445100e+04,3.300047e+04,3.154100e+04,2.790608e+04,2.650900e+04,5.094397e+03,5.032000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.084600e+03,2.910000e+03,3.890000e+02,3.800000e+02,4.462000e+03,2.998000e+04,1.329100e+04,6.201000e+03,7.237000e+03,3.134195e+04,1.444283e+04,6.263439e+03,2.707000e+04,2.843041e+04,5.100000e+01,8.006231e-01
avr.89,1989,4,35252.469278,33702.000000,32548.409278,31151.000000,26411.240478,25089.000000, 6137.168800, 6062.000000,    0.000000,    0.000000,    0.000000,    0.000000, 2704.060000, 2551.000000,  265.000000,  448.000000, 4309.000000,29576.000000,12253.000000, 5889.000000, 7927.000000,27859.728822,10835.023102, 5794.214073,27025.000000,25057.443032,   51.800000,    1.327174
X1989.05.01,1989,5,3.091460e+04,2.961200e+04,2.924616e+04,2.803800e+04,2.247624e+04,2.135100e+04,6.769919e+03,6.687000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.668440e+03,1.574000e+03,3.650000e+02,4.200000e+02,4.534000e+03,2.513300e+04,8.988000e+03,5.992000e+03,7.933000e+03,2.711092e+04,1.067072e+04,6.112489e+03,2.355900e+04,2.602103e+04,4.310000e+01,6.057627e-01
X1989.06.01,1989,6,31131.450,29734.000,29135.470,27851.000,24530.062,23302.000, 4605.408, 4549.000,    0.000,    0.000,    0.000,    0.000, 1995.980, 1883.000,  435.000,  347.000, 4340.000,25306.000, 8578.000, 6219.000, 8075.000,25306.000, 8578.000, 6219.000,23423.000,23423.000,   44.100,    1.000
juil.89,1989,7,30426.524,29059.000,28113.604,26877.000,23595.263,22414.000, 4518.341, 4463.000,    0.000,    0.000,    0.000,    0.000, 2312.920, 2182.000,  434.000,  524.000, 4222.000,24927.000, 8824.000, 5701.000, 7904.000,24927.000, 8824.000, 5701.000,22745.000,22745.000,   42.400,    1.000
aoet.89,1989,8,27310.285,26065.000,25014.325,23899.000,21391.957,20321.000, 3622.367, 3578.000,    0.000,    0.000,    0.000,    0.000, 2295.960, 2166.000,  343.000,  614.000, 3628.000,22708.000, 8165.000, 5047.000, 7234.000,22708.000, 8165.000, 5047.000,20542.000,20542.000,   41.600,    1.000
sept.89,1989,9,29654.596,28252.000,25500.456,24333.000,22613.092,21481.000, 2887.365, 2852.000,    0.000,    0.000,    0.000,    0.000, 4154.140, 3919.000,  304.000,  686.000, 4025.000,24609.000, 8807.000, 5778.000, 7532.000,24609.000, 8807.000, 5778.000,20690.000,20690.000,   43.200,    1.000
oct.89,1989,10,3.311894e+04,3.152800e+04,2.736420e+04,2.609900e+04,2.459428e+04,2.336300e+04,2.769926e+03,2.736000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.754740e+03,5.429000e+03,3.640000e+02,7.210000e+02,4.589000e+03,2.729600e+04,1.049100e+04,6.307000e+03,7.536000e+03,2.847370e+04,1.147272e+04,6.375190e+03,2.186700e+04,2.305045e+04,4.750000e+01,7.860758e-01
nov.89,1989,11,36719.819078,34995.000000,29143.999078,27848.000000,24832.187478,23589.000000, 4311.811600, 4259.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7575.820000, 7147.000000,  273.000000,  871.000000, 4332.000000,31261.000000,14429.000000, 6384.000000, 6950.000000,30550.785521,13832.484741, 6349.771375,24114.000000,23505.798322,   55.000000,    1.107811
dec.89,1989,12,38402.438260,36567.000000,31347.078260,29911.000000,27822.913860,26430.000000, 3524.164400, 3481.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7055.360000, 6656.000000,  517.000000, 1853.000000, 3319.000000,34584.000000,17427.000000, 6060.000000, 6823.000000,35012.872671,17787.480762, 6075.390469,27928.000000,28271.773145,   59.600000,    0.949335
janv.90,1990,1,40288.290550,38337.000000,31945.030550,30466.000000,28765.082150,27325.000000, 3179.948400, 3141.000000,    0.000000,    0.000000,    0.000000,    0.000000, 8343.260000, 7871.000000,  398.000000, 1045.000000, 3064.000000,35920.000000,18211.000000, 6966.000000, 6629.000000,36292.029561,18525.601636, 6980.818526,28049.000000,28337.738768,   58.100000,    0.957545
fevr.90,1990,2,3.343220e+04,3.190100e+04,2.818732e+04,2.695300e+04,2.351105e+04,2.233400e+04,4.676276e+03,4.619000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.244880e+03,4.948000e+03,3.380000e+02,6.030000e+02,3.156000e+03,2.901000e+04,1.357900e+04,6.115000e+03,6.083000e+03,3.185442e+04,1.598900e+04,6.232425e+03,2.406200e+04,2.645446e+04,5.380000e+01,6.231789e-01
X1990.03.01,1990,3,3.508539e+04,3.351500e+04,3.137539e+04,3.001500e+04,2.581225e+04,2.452000e+04,5.563138e+03,5.495000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.710000e+03,3.500000e+03,3.100000e+02,6.150000e+02,3.370000e+03,3.045000e+04,1.388300e+04,6.179000e+03,6.855000e+03,3.121056e+04,1.452119e+04,6.213132e+03,2.695000e+04,2.767990e+04,5.210000e+01,8.901283e-01
avr.90,1990,4,35592.00694,33952.00000,31215.26694,29823.00000,26707.04974,25370.00000, 4508.21720, 4453.00000,    0.00000,    0.00000,    0.00000,    0.00000, 4376.74000, 4129.00000,  387.00000,  511.00000, 4542.00000,29534.00000,12947.00000, 6050.00000, 7594.00000,28344.58946,11939.27588, 5986.83580,25405.00000,24180.44256,   51.40000,    1.21101
X1990.05.01,1990,5,3.117297e+04,2.981000e+04,2.936991e+04,2.810900e+04,2.383107e+04,2.263800e+04,5.538840e+03,5.471000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.803060e+03,1.701000e+03,5.030000e+02,2.720000e+02,4.177000e+03,2.540200e+04,8.812000e+03,6.169000e+03,7.780000e+03,2.811033e+04,1.107694e+04,6.330810e+03,2.370100e+04,2.701535e+04,4.190000e+01,4.888167e-01
X1990.06.01,1990,6,30873.48,29532.00,29601.48,28332.00,23982.66,22782.00, 5618.82, 5550.00,    0.00,    0.00,    0.00,    0.00, 1272.00, 1200.00,  413.00,  307.00, 3990.00,25436.00, 9106.00, 5967.00, 7871.00,25436.00, 9106.00, 5967.00,24236.00,24236.00,   43.40,    1.00
juil.90,1990,7,31422.04,30032.00,29874.44,28572.00,24765.87,23526.00, 5108.57, 5046.00,    0.00,    0.00,    0.00,    0.00, 1547.60, 1460.00,  356.00,  477.00, 4334.00,25819.00, 9127.00, 6207.00, 7984.00,25819.00, 9127.00, 6207.00,24359.00,24359.00,   43.10,    1.00
aoet.90,1990,8,29608.338,28250.000,28044.838,26775.000,24496.376,23270.000, 3548.462, 3505.000,    0.000,    0.000,    0.000,    0.000, 1563.500, 1475.000,  362.000,  367.000, 4630.000,23625.000, 8894.000, 5202.000, 7263.000,23625.000, 8894.000, 5202.000,22150.000,22150.000,   42.200,    1.000
sept.90,1990,9,32229.717,30714.000,29987.817,28599.000,27013.386,25661.000, 2974.431, 2938.000,    0.000,    0.000,    0.000,    0.000, 2241.900, 2115.000,  420.000,  392.000, 5165.000,25521.000, 9068.000, 5937.000, 7698.000,25521.000, 9068.000, 5937.000,23406.000,23406.000,   44.300,    1.000
oct.90,1990,10,3.568004e+04,3.401500e+04,3.165628e+04,3.021900e+04,2.775449e+04,2.636500e+04,3.901790e+03,3.854000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.023760e+03,3.796000e+03,6.140000e+02,5.470000e+02,5.323000e+03,2.862500e+04,1.121600e+04,6.714000e+03,7.944000e+03,2.987355e+04,1.227158e+04,6.786976e+03,2.482900e+04,2.618019e+04,4.880000e+01,7.849539e-01
nov.90,1990,11,39213.652586,37457.000000,33093.212586,31683.000000,26573.356586,25243.000000, 6519.856000, 6440.000000,    0.000000,    0.000000,    0.000000,    0.000000, 6120.440000, 5774.000000,  446.000000,  738.000000, 5281.000000,32468.000000,15302.000000, 6538.000000, 7256.000000,32055.829315,14951.725589, 6518.910168,26694.000000,26323.984455,   58.500000,    1.058568
dec.90,1990,12,44764.918330,42731.000000,37221.958330,35615.000000,30438.878330,28915.000000, 6783.080000, 6700.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7542.960000, 7116.000000,  395.000000,  800.000000, 5395.000000,37741.000000,20297.000000, 6218.000000, 6540.000000,36148.494995,18956.696499, 6163.527184,30625.000000,29378.695252,   63.400000,    1.176759
janv.91,1991,1,45486.525544,43406.000000,39835.665544,38075.000000,33656.988344,31972.000000, 6178.677200, 6103.000000,    0.000000,    0.000000,    0.000000,    0.000000, 5650.860000, 5331.000000,  438.000000,  579.000000, 5452.000000,38095.000000,19375.000000, 7245.000000, 7113.000000,37792.346258,19119.102096, 7232.898989,32764.000000,32502.980070,   62.600000,    1.033461
fevr.91,1991,2,43281.631596,41263.000000,35478.971596,33902.000000,30210.441996,28698.000000, 5268.529600, 5204.000000,    0.000000,    0.000000,    0.000000,    0.000000, 7802.660000, 7361.000000,  325.000000,  507.000000, 4766.000000,36679.000000,19185.000000, 6723.000000, 6592.000000,34624.230707,17447.023586, 6640.316035,29318.000000,27664.527279,   67.800000,    1.249036
X1991.03.01,1991,3,3.854348e+04,3.681300e+04,3.442008e+04,3.292300e+04,2.844085e+04,2.701700e+04,5.979234e+03,5.906000e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.123400e+03,3.890000e+03,5.910000e+02,5.520000e+02,5.370000e+03,3.140400e+04,1.428100e+04,6.370000e+03,7.127000e+03,3.283663e+04,1.548567e+04,6.432550e+03,2.751400e+04,2.886110e+04,5.250000e+01,8.055192e-01
avr.91,1991,4,36357.306142,34704.000000,30771.106142,29434.000000,25392.224942,24121.000000, 5378.881200, 5313.000000,    0.000000,    0.000000,    0.000000,    0.000000, 5586.200000, 5270.000000,  385.000000,  555.000000, 4955.000000,29919.000000,13106.000000, 6546.000000, 7483.000000,28646.241919,12024.453344, 6473.220291,24649.000000,23386.872262,   52.000000,    1.224864
X1991.05.01,1991,5,35526.813354,33898.000000,30179.113354,28853.000000,25293.270954,24027.000000, 4885.842400, 4826.000000,    0.000000,    0.000000,    0.000000,    0.000000, 5347.700000, 5045.000000,  559.000000,  590.000000, 4914.000000,29015.000000,11484.000000, 6243.000000, 8309.000000,25623.277094, 8682.538858, 6000.969928,23970.000000,20082.226324,   50.400000,    1.806637
X1991.06.01,1991,6,32417.898,30996.000,29342.838,28095.000,23494.203,22318.000, 5848.635, 5777.000,    0.000,    0.000,    0.000,    0.000, 3075.060, 2901.000,  552.000,  387.000, 4317.000,26514.000, 9250.000, 6097.000, 8170.000,26514.000, 9250.000, 6097.000,23613.000,23613.000,   46.200,    1.000
juil.91,1991,7,33179.33,31688.00,28963.71,27711.00,23745.80,22557.00, 5217.91, 5154.00,    0.00,    0.00,    0.00,    0.00, 4215.62, 3977.00,  467.00,  476.00, 4366.00,27331.00, 9624.00, 6699.00, 8618.00,27331.00, 9624.00, 6699.00,23354.00,23354.00,   45.00,    1.00
aoet.91,1991,8,30829.594,29408.000,28082.074,26816.000,24384.789,23164.000, 3697.285, 3652.000,    0.000,    0.000,    0.000,    0.000, 2747.520, 2592.000,  394.000,  311.000, 4698.000,24627.000, 9200.000, 5214.000, 7823.000,24627.000, 9200.000, 5214.000,22035.000,22035.000,   43.100,    1.000
