ABC003500387;22/07/14;1975,65;1986,24;1975,65;1983,53;0
ABC003500387;23/07/14;1985,32;1989,23;1982,44;1987,01;0
ABC003500387;24/07/14;1988,07;1991,39;1985,79;1987,98;0
ABC003500387;25/07/14;1984,60;1984,60;1974,37;1978,34;0
ABC003500387;28/07/14;1978,25;1981,52;1967,31;1978,91;0
ABC003500387;29/07/14;1980,03;1984,85;1969,95;1969,95;0
ABC003500387;30/07/14;1973,21;1978,90;1962,42;1970,07;0
ABC003500387;31/07/14;1965,14;1965,14;1930,67;1930,67;0
ABC003500387;01/08/14;1929,80;1937,35;1916,37;1925,15;0
ABC003500387;04/08/14;1926,62;1942,92;1921,20;1938,99;0
ABC003500387;05/08/14;1936,34;1936,34;1913,77;1920,21;0
ABC003500387;06/08/14;1917,29;1927,91;1911,45;1920,24;0
ABC003500387;07/08/14;1923,03;1928,89;1904,78;1909,57;0
ABC003500387;08/08/14;1910,35;1932,38;1909,01;1931,59;0
ABC003500387;11/08/14;1933,43;1944,90;1933,43;1936,92;0
ABC003500387;12/08/14;1935,73;1939,65;1928,29;1933,75;0
ABC003500387;13/08/14;1935,60;1948,41;1935,60;1946,72;0
ABC003500387;14/08/14;1947,41;1955,23;1947,41;1955,18;0
ABC003500387;15/08/14;1958,87;1964,04;1941,50;1955,06;0
ABC003500387;18/08/14;1958,36;1971,99;1958,36;1971,74;0
ABC003500387;19/08/14;1972,73;1982,57;1972,73;1981,60;0
ABC003500387;20/08/14;1980,46;1988,57;1977,68;1986,51;0
ABC003500387;21/08/14;1986,82;1994,76;1986,82;1992,37;0
ABC003500387;22/08/14;1992,60;1993,54;1984,76;1988,40;0
ABC003500387;25/08/14;1991,74;2001,95;1991,74;1997,92;0
ABC003500387;26/08/14;1998,59;2005,04;1998,59;2000,02;0
ABC003500387;27/08/14;2000,54;2002,14;1996,20;2000,12;0
ABC003500387;28/08/14;1997,42;1998,55;1990,52;1996,74;0
ABC003500387;29/08/14;1998,45;2003,38;1994,65;2003,37;0
ABC003500387;01/09/14;1998,45;2003,38;1994,65;2003,37;0
ABC003500387;02/09/14;2004,07;2006,12;1994,85;2002,28;0
ABC003500387;03/09/14;2003,57;2009,28;1998,14;2000,72;0
ABC003500387;04/09/14;2001,67;2011,17;1992,54;1997,65;0
ABC003500387;05/09/14;1998,00;2007,71;1990,10;2007,71;0
ABC003500387;08/09/14;2007,17;2007,17;1995,60;2001,54;0
ABC003500387;09/09/14;2000,73;2001,01;1984,61;1988,44;0
ABC003500387;10/09/14;1988,41;1996,66;1982,99;1995,69;0
ABC003500387;11/09/14;1992,85;1997,65;1985,93;1997,45;0
ABC003500387;12/09/14;1996,74;1996,74;1980,26;1985,54;0
ABC003500387;15/09/14;1986,04;1987,18;1978,48;1984,13;0
ABC003500387;16/09/14;1981,93;2002,28;1979,06;1998,98;0
ABC003500387;17/09/14;1999,30;2010,74;1993,29;2001,57;0
ABC003500387;18/09/14;2003,07;2012,34;2003,07;2011,36;0
ABC003500387;19/09/14;2012,74;2019,26;2006,59;2010,40;0
ABC003500387;22/09/14;2009,08;2009,08;1991,01;1994,29;0
ABC003500387;23/09/14;1992,78;1995,41;1982,77;1982,77;0
ABC003500387;24/09/14;1983,34;1999,79;1978,63;1998,30;0
ABC003500387;25/09/14;1997,32;1997,32;1965,99;1965,99;0
ABC003500387;26/09/14;1966,22;1986,37;1966,22;1982,85;0
ABC003500387;29/09/14;1978,96;1981,28;1964,04;1977,80;0
ABC003500387;30/09/14;1978,21;1985,17;1968,96;1972,29;0
ABC003500387;01/10/14;1971,44;1971,44;1941,72;1946,16;0
ABC003500387;02/10/14;1945,83;1952,32;1926,03;1946,17;0
ABC003500387;03/10/14;1948,12;1971,19;1948,12;1967,90;0
ABC003500387;06/10/14;1970,01;1977,84;1958,43;1964,82;0
ABC003500387;07/10/14;1962,36;1962,36;1934,87;1935,10;0
ABC003500387;08/10/14;1935,55;1970,36;1925,25;1968,89;0
ABC003500387;09/10/14;1967,68;1967,68;1927,56;1928,21;0
ABC003500387;10/10/14;1925,63;1936,98;1906,05;1906,13;0
ABC003500387;13/10/14;1905,65;1912,09;1874,14;1874,74;0
ABC003500387;14/10/14;1877,11;1898,71;1871,79;1877,70;0
ABC003500387;15/10/14;1874,18;1874,18;1820,66;1862,49;0
ABC003500387;16/10/14;1855,95;1876,01;1835,02;1862,76;0
ABC003500387;17/10/14;1864,91;1898,16;1864,91;1886,76;0
ABC003500387;20/10/14;1885,62;1905,03;1882,30;1904,01;0
ABC003500387;21/10/14;1909,38;1942,45;1909,38;1941,28;0
ABC003500387;22/10/14;1941,29;1949,31;1926,83;1927,11;0
ABC003500387;23/10/14;1931,02;1961,95;1931,02;1950,82;0
ABC003500387;24/10/14;1951,59;1965,27;1946,27;1964,58;0
ABC003500387;27/10/14;1962,97;1964,64;1951,37;1961,63;0
ABC003500387;28/10/14;1964,14;1985,05;1964,14;1985,05;0
ABC003500387;29/10/14;1983,29;1991,40;1969,04;1982,30;0
ABC003500387;30/10/14;1979,49;1999,40;1974,75;1994,65;0
ABC003500387;31/10/14;2001,20;2018,19;2001,20;2018,05;0
ABC003500387;03/11/14;2018,21;2024,46;2013,68;2017,81;0
ABC003500387;04/11/14;2015,81;2015,98;2001,01;2012,10;0
ABC003500387;05/11/14;2015,29;2023,77;2014,42;2023,57;0
ABC003500387;06/11/14;2023,33;2031,61;2015,86;2031,21;0
ABC003500387;07/11/14;2032,36;2034,26;2025,07;2031,92;0
ABC003500387;10/11/14;2032,01;2038,70;2030,17;2038,26;0
ABC003500387;11/11/14;2038,20;2041,28;2035,28;2039,68;0
